routes;prob;price
1:2;0.0110515137333957;15
1:3;0.00590374023542964;20
1:4;0.0113035026458836;25
1:5;0.0984196695345405;45
1:6;0.0554015623312574;45
1:7;0.113143021707045;50
1:8;0.325713668598582;50
2:3;0.00248389070880881;10
2:4;0.00881961193707477;15
2:5;0.0190071636847979;40
2:6;0.0131754202815076;40
2:7;0.0224270132114187;45
2:8;0.0433060945318406;45
3:4;0.00251988912487851;10
3:5;0.022858994204255;35
3:6;0.0111235105655351;35
3:7;0.0185391842758919;40
3:8;0.0395982576766622;40
4:5;0.0230029878685338;30
4:6;0.013247417113647;30
4:7;0.0197991288383311;35
4:8;0.041614168976565;35
5:6;0.00302386694985421;10
5:7;0.00331185427841175;10
5:8;0.0129594297850895;15
6:7;0.0040678210158753;10
6:8;0.0176032254580798;10
7:8;0.036574390726808;10
